Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT3GuRZgP0VBsLS1f7hAOB7o,Transfer To Pro Wallet,NEXO,-50.00000000,NEXO,50.00000000,$45.85,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-13 09:08:09
NXT6cP9UNq07SoJpomMTEz2Jo,Transfer To Pro Wallet,USDT,-600.00000000,USDT,600.00000000,$599.76,-,-,"approved / USDT Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-13 09:07:59
NXT4dKd5cyaZUwt7GgOBKNKie,Dual Investment Interest,USDT,0.89120000,USDT,0.89120000,$0.89,-,-,"completed / USDT Interest Earned",2026-05-13 08:00:11
NXT4j2hDsKHlcq6FcqSLDnWyT,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.61,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-13 08:00:11
NXT4faUwkWVTpCLn3m0HfXJ3m,Interest,NEXO,3.75972815,NEXO,3.75972815,$3.45,-,-,"approved / 3.449889 USDC",2026-05-13 05:00:00
NXT4byQ4NSbiBPmQQZNWGgdA2,Interest,NEXO,0.97361162,NEXO,0.97361162,$0.89,-,-,"approved / NEXO Interest Earned",2026-05-13 05:00:00
NXTjmtFRVjzMj5gJZ3sMvW7g,Interest,NEXO,0.88893982,NEXO,0.88893982,$0.82,-,-,"approved / 0.00001014 BTC",2026-05-13 05:00:00
NXT5K45pQx2gPPXlPeMyqBo5F,Interest,NEXO,17.13276517,NEXO,17.13276517,$15.72,-,-,"approved / 15.721267 USDT",2026-05-13 05:00:00
NXT1iHHT5jxvluT2d0vP1mx0W,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.75,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-12 23:22:31
NXT46gnPsOV53CYNiML6ZZ0QP,Dual Investment Interest,USDT,1.21093000,USDT,1.21093000,$1.21,-,-,"completed / USDT Interest Earned",2026-05-12 08:00:10
NXT7QBcI5xmjIdWiM43l4MSPS,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.57,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-05-12 08:00:10
NXT4rRqUmOsc2LnQEa5xfuvv1,Interest,NEXO,3.74446041,NEXO,3.74446041,$3.45,-,-,"approved / 3.449889 USDC",2026-05-12 05:00:00
