id,timestamp,pair,side,type,price,executedPrice,triggerPrice,requestedAmount,filledAmount,tradingFee,feeCurrency,status,orderId
184462204,2026-04-14 05:36:04.647,NEXO/USDT,buy,market,0.90997561,0.90997561,,7000.0,7000.00000000,4.9000000000000000,NEXO,completed,65b16749-3ae4-4e39-8f95-6d3e5091c043
184462193,2026-04-14 05:35:26.96,SOL/USDT,sell,market,85.60378600,85.60378600,,520.66,520.66000000,39.2367249234222822,NEXO,completed,b03e4707-fd83-4adf-b42a-5f41cd32aeff
184462185,2026-04-14 05:34:49.678,NEXO/USDT,buy,market,0.90987358,0.90987358,,1000.0,1000.00000000,0.8000000000000000,NEXO,completed,1cb0395b-75dc-495e-ba76-517c5d1b759b
184460905,2026-04-14 04:33:16.87,SOL/USDT,sell,market,85.69422000,85.69422000,,73.19,73.19000000,5.5470321921839589,NEXO,completed,1238635a-0ae0-4691-9d9c-5f7bfa098539
184236982,2026-04-10 12:05:06.148,SOL/USDT,buy,market,83.91098000,83.91098000,,0.98,0.98000000,0.0742388107856807,NEXO,completed,68d07e70-ec2a-4dd2-b9c2-f6d8a79b90f0
184236981,2026-04-10 12:05:03.191,SOL/USDT,buy,market,83.89092000,83.89092000,,30.0,30.00000000,2.5560529741354915,NEXO,completed,2a1a8736-eb7b-46c4-ae62-96a6d7075dab
184236961,2026-04-10 12:04:41.169,SOL/USDT,buy,market,,,,31.0,0.00000000,,,completed,224a709c-0b1c-45be-bf99-87b8240d149e
184236955,2026-04-10 12:04:35.733,SOL/USDT,buy,market,,,,31.05,0.00000000,,,completed,b2954cac-b19c-40ab-af35-aff1ed8cdfc7
184236954,2026-04-10 12:04:31.02,SOL/USDT,buy,market,,,,31.05,0.00000000,,,completed,bcb61e9e-b4bc-4e41-aa38-63c45ef00437
184236950,2026-04-10 12:04:24.049,SOL/USDT,buy,market,,,,31.05,0.00000000,,,completed,e25be3ea-db44-47ab-8c90-6f585d021663
184236949,2026-04-10 12:04:20.855,SOL/USDT,buy,market,,,,31.05,0.00000000,,,completed,849927e6-fe06-4fb9-a356-2d0bd60fcca8
184236885,2026-04-10 12:03:44.93,USDC/USDT,sell,market,0.99960000,0.99960000,,1300.0,1300.00000000,1.3237487266553480,NEXO,completed,2f22a580-100c-4be3-bb13-8ac5eb98dd7b
184085083,2026-04-08 06:57:58.792,SOL/USDT,buy,market,84.77356000,84.77356000,,6.0,6.00000000,0.5163862646376648,NEXO,completed,86607e2b-1ac2-4a28-bf8e-34364f4c60f6
184085073,2026-04-08 06:57:44.561,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,042f741f-4038-43af-97e7-11cd31d3cbc9
